选股日期,选股时间,模块,账户,代码,状态,方向,策略动作,选股理由,上涨规律,下跌规律,涨幅%,量比,收盘强度,成交额M,5日涨%,20日涨%,SEC融资,回测参考
2026-06-24,2026-06-24 12:49:04,资金流入·拉升,资金流向,BALL,可开仓,做多,次日做多,温和堆量拉升：涨2.5~5% + 量比1.3~1.75 + 收强≥55% + MA50上 + 5日涨4~25%,U_S1、U_S2,—,3.934709425271299,1.55,0.85,195.3,5.5,7.4,,U_S1:回测1日胜率47% n=293 均收益+0.08%；U_S2:回测1日胜率51% n=1264 均收益+0.27%
2026-06-24,2026-06-24 12:49:04,资金流入·拉升,资金流向,SRRK,可开仓,做多,次日做多,温和堆量拉升：涨2.5~5% + 量比1.3~1.75 + 收强≥55% + MA50上 + 5日涨4~25%,U_S1、U_S2,—,4.228505568457774,1.7,0.86,65.6,11.7,6.5,,U_S1:回测1日胜率47% n=293 均收益+0.08%；U_S2:回测1日胜率51% n=1264 均收益+0.27%
2026-06-24,2026-06-24 12:49:04,资金流入·拉升,资金流向,NVO,可开仓,做多,次日做多,温和堆量拉升：涨2.5~5% + 量比1.3~1.75 + 收强≥55% + MA50上 + 5日涨4~25%,U_S1、U_A1,—,3.3565759916695193,1.36,0.99,582.2,8.0,5.5,,U_S1:回测1日胜率47% n=293 均收益+0.08%；U_A1:回测1日胜率45% n=136 均收益-0.26%
2026-06-24,2026-06-24 12:49:04,资金流出·出货,资金流向,TSM,待定价,做空,买Put价差,弱收盘出货：收在日内低位≤35% + 放量 + 5日跌,—,D_A3,-6.688476464427062,1.54,0.17,5979.9,-1.1,8.1,,D_A3:回测1日胜率47% n=1528 均收益+0.46%
2026-06-24,2026-06-24 12:49:04,资金流出·出货,资金流向,UUUU,待定价,做空,买Put价差,弱收盘出货：收在日内低位≤35% + 放量 + 5日跌,—,D_A3,-4.032261404246307,1.5,0.14,188.8,-1.1,-14.2,,D_A3:回测1日胜率47% n=1528 均收益+0.46%
2026-06-24,2026-06-24 12:49:04,资金流出·出货,资金流向,STLA,待定价,做空,买Put价差,弱收盘出货：收在日内低位≤35% + 放量 + 5日跌,—,D_A3,-6.583073178059806,1.53,0.0,129.0,-15.3,-21.7,,D_A3:回测1日胜率47% n=1528 均收益+0.46%
2026-06-24,2026-06-24 12:49:04,陷阱·过热,资金流向,RYTM,观望,回避,回避追涨,抛物线出货区：5日涨>15% 或 20日涨>40%（趋势过热，易回踩）,U_S1、U_S2,D_S1,4.734197732175827,1.66,0.89,75.6,18.4,20.9,,U_S1:回测1日胜率47% n=293 均收益+0.08%；U_S2:回测1日胜率51% n=1264 均收益+0.27%；D_S1:回测1日胜率48% n=1693 均收益+0.42%
2026-06-24,2026-06-24 12:49:04,陷阱·过热,资金流向,VKTX,观望,回避,回避追涨,抛物线出货区：5日涨>15% 或 20日涨>40%（趋势过热，易回踩）,U_S2,D_S1,7.5378514733370094,3.04,0.74,70.3,17.5,12.7,,U_S2:回测1日胜率51% n=1264 均收益+0.27%；D_S1:回测1日胜率48% n=1693 均收益+0.42%
2026-06-24,2026-06-24 12:49:04,陷阱·过热,资金流向,APGE,观望,回避,回避追涨,抛物线出货区：5日涨>15% 或 20日涨>40%（趋势过热，易回踩） | 轨迹:5日涨54% + 成交额>579M + MA50上（抛物线区）；20日涨64%（趋势过热）,—,D_S1、D_S2,0.24896403127643296,2.67,0.55,579.3,54.2,63.7,,D_S1:回测1日胜率48% n=1693 均收益+0.42%
2026-06-24,2026-06-24 12:49:04,陷阱·过热,资金流向,RCUS,观望,回避,回避追涨,抛物线出货区：5日涨>15% 或 20日涨>40%（趋势过热，易回踩）,U_S2,D_S1,3.4888019791036395,1.79,0.94,34.7,16.5,20.3,,U_S2:回测1日胜率51% n=1264 均收益+0.27%；D_S1:回测1日胜率48% n=1693 均收益+0.42%
2026-06-24,2026-06-24 12:49:04,陷阱·过热,资金流向,BRBR,观望,回避,回避追涨,抛物线出货区：5日涨>15% 或 20日涨>40%（趋势过热，易回踩）,U_S2,D_S1,10.816129530163954,1.87,0.86,54.1,27.2,26.5,,U_S2:回测1日胜率51% n=1264 均收益+0.27%；D_S1:回测1日胜率48% n=1693 均收益+0.42%
